wanted,position,positionid,from,start,end
Q13081166,Minister of Civil Affairs,Q109645293,Q80903166,2019-12-23,
Q25462657,Minister of Security,Q109645247,Q1392741,2019-12-23,2020-06-02
Q4860840,Minister of Justice,Q109645278,Q22696487,2015-03-31,
Q609400,President of the National Assembly of Republika Srpska,Q12757792,Q391171,2014-11-24,
Q20525036,Minister of Security,Q109645247,Q1392741,2012-11-22,2014-04-29
Q362643,Chairman of the Council of Ministers,Q16020744,Q1596641,2009-06-25,2011-03-17
Q23682424,Minister of Civil Affairs,Q109645293,Q7398589,2002-12-23,2007-01-11
Q4891938,Serb Member of the Presidency,Q109646831,Q2444338,2002-10-28,2003-04-02
Q20640948,Minister of Finance and Treasury,Q109645194,Q4953066,2001-02-22,2001-07-17
Q20640948,Chairman of the Council of Ministers,Q16020744,Q12636401,2000-10-18,2001-02-21
Q1117789,President of Republika Srpska,Q6594693,Q2444338,2000-01-26,2002-11-26
